"","name","address","vacancy","postcode","lga"
"1","Wilcox Street Early Education Centre","ALBURY NSW 2640","Vacancy","2640","Albury"
"2","Albury TAFE Child Care Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"3","Goodstart Early Learning Albury - Banff Avenue 1","ALBURY NSW 2640","Vacancy","2640","Albury"
"4","West Albury Preschool Centre","ALBURY NSW 2640",NA,"2640","Albury"
"5","Albury Preschool","ALBURY NSW 2640",NA,"2640","Albury"
"6","AlburyCity - St Pats OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"7","AlburyCity - Albury OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"8","Big Childcare - Albury West PS OSHC","WEST ALBURY NSW 2640","No Vacancy","2640","Albury"
"9","Lots of Tots Early Learning Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"10","Goodstart Early Learning Albury - Pemberton Street","ALBURY NSW 2640","Vacancy","2640","Albury"
"11","Scots Pre-School","ALBURY NSW 2640",NA,"2640","Albury"
"12","Guardian Childcare & Education Kinfolk Albury","ALBURY NSW 2640","No Vacancy","2640","Albury"
"13","The Scots School TheirCare","ALBURY NSW 2640","Vacancy","2640","Albury"
"14","Kiewa Kids","SOUTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"15","Albury Occasional Child Care and Early Learning Centre","ALBURY NSW 2640","Vacancy","2640","Albury"
"16","Koori Kindermanna Preschool","GLENROY NSW 2640",NA,"2640","Albury"
"17","Yarrunga Early Learning Centre Inc.","ALBURY NSW 2640","Vacancy","2640","Albury"
"18","GREEN LEAVES EARLY LEARNING ALBURY","NORTH ALBURY NSW 2640","Vacancy","2640","Albury"
"19","AlburyCity - Albury North OOSH","ALBURY NSW 2640","Vacancy","2640","Albury"
"20","Family Friend Home Support","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"21","Family Friend Home Support - Victoria","NORTH ALBURY NSW 2640","No Vacancy","2640","Albury"
"22","Family Friend Outside School Hours Care","ALBURY NSW 2640","No Vacancy","2640","Albury"
"23","Woodlands Childcare Centre","ALBURY NSW 2640","No Vacancy","2640","Albury"
"24","Greater Hume Children Services","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
"25","Greater Hume Children Services","LAVINGTON NSW 2641","Vacancy","2641","Albury"
"26","Moresby Park Preschool","NORTH ALBURY NSW 2640",NA,"2640","Albury"
"27","Kidscape Early Learning Centre","EAST ALBURY NSW 2640","Vacancy","2640","Albury"
"28","Lavington Occasional Child Care Centre","LAVINGTON NSW 2641","No Vacancy","2641","Albury"
