"","geography","month","vacancy_rate"
"130","Lachlan","2021-11",2.3911663216011
"131","Lachlan","2021-12",2.44062717770035
"132","Lachlan","2022-02",0.25244122965642
"133","Lachlan","2022-05",0.769004774146162
"134","Lachlan","2022-06",1.03330866025167
"135","Lachlan","2022-07",0.520701230883999
"136","Lachlan","2022-08",0.520701230883999
"137","Lachlan","2022-09",0.261717285339333
"138","Lachlan","2022-10",1.31897203325775
"139","Lachlan","2022-11",1.32952380952381
"140","Lachlan","2022-12",1.32952380952381
"141","Lachlan","2023-01",1.32952380952381
"142","Lithgow","2021-02",1.3144086425303
"143","Lithgow","2021-03",1.02965025905529
"144","Lithgow","2021-04",0.939467704921469
"145","Lithgow","2021-05",1.13282921698763
"146","Lithgow","2021-06",1.10591849413435
"147","Lithgow","2021-07",0.78709372076719
"148","Lithgow","2021-08",0.595050897537085
"149","Lithgow","2021-09",0.938625092087036
"150","Lithgow","2021-10",0.979168021404311
"151","Lithgow","2021-11",0.853682978927753
"152","Lithgow","2021-12",0.927771023954148
"153","Lithgow","2022-01",0.593586962288464
"154","Lithgow","2022-02",1.13639288335959
"155","Lithgow","2022-03",0.9249027517691
"156","Lithgow","2022-04",1.43755152640289
"157","Lithgow","2022-05",0.568941971693136
"158","Lithgow","2022-06",0.625321560565722
"159","Lithgow","2022-07",0.823420504459311
"160","Lithgow","2022-08",0.996048376586352
"161","Lithgow","2022-09",1.16508600214878
"162","Lithgow","2022-10",1.10968660241402
"163","Lithgow","2022-11",2.47960310551405
"164","Lithgow","2022-12",2.49913788390569
"165","Lithgow","2023-01",2.49913788390569
"166","Mid-Western","2021-02",0.972499143904037
"167","Mid-Western","2021-03",1.23001461896086
"168","Mid-Western","2021-04",1.11406679145596
"169","Mid-Western","2021-05",1.1444598023586
"170","Mid-Western","2021-06",1.38781215414748
"171","Mid-Western","2021-07",1.39307467259127
"172","Mid-Western","2021-08",2.12818616089418
"173","Mid-Western","2021-09",2.45738408139742
"174","Mid-Western","2021-10",1.81366958694404
"175","Mid-Western","2021-11",1.55245815764595
"176","Mid-Western","2021-12",1.35217675197321
"177","Mid-Western","2022-01",1.81158737470729
"178","Mid-Western","2022-02",1.51737934731325
"179","Mid-Western","2022-03",1.03762524557156
"180","Mid-Western","2022-04",1.34600828995566
"181","Mid-Western","2022-05",1.13154667209051
"182","Mid-Western","2022-06",1.23427087119835
"183","Mid-Western","2022-07",1.13844616813866
"184","Mid-Western","2022-08",1.68869815459512
"185","Mid-Western","2022-09",1.45345523096017
"186","Mid-Western","2022-10",1.45044599815308
"187","Mid-Western","2022-11",1.64157968579927
"188","Mid-Western","2022-12",2.09138851611623
"189","Mid-Western","2023-01",2.09138851611623
"190","Oberon","2021-02",1.74173424828446
"191","Oberon","2021-03",0.654579556111287
"192","Oberon","2021-04",0.657456828885399
"193","Oberon","2021-05",0.439269981120203
"194","Oberon","2021-06",0.660359508041629
"195","Oberon","2021-07",0.88242730720607
"196","Oberon","2021-08",0.884383908774152
"197","Oberon","2021-09",1.32952380952381
"198","Oberon","2021-10",1.11040407254216
"199","Oberon","2021-11",1.11040407254216
"200","Oberon","2021-12",1.33844678811122
"201","Oberon","2022-01",0.894298526585524
"202","Oberon","2022-02",0.672231139646868
"203","Oberon","2022-03",0.224581724581725
"204","Oberon","2022-04",1.57562076749435
"205","Oberon","2022-05",0.902391725921136
"206","Oberon","2022-06",0.678328474246842
"207","Oberon","2022-07",0.454279205987636
"208","Oberon","2022-08",1.36594911937378
"209","Oberon","2022-09",1.36907486106571
"210","Oberon","2022-10",1.60091743119266
"211","Oberon","2022-11",2.06305418719212
"212","Oberon","2022-12",2.52732060566162
"213","Oberon","2023-01",2.52732060566162
"214","Orange","2021-02",0.568649063114008
"215","Orange","2021-03",0.686069091170619
"216","Orange","2021-04",0.251169485426413
"217","Orange","2021-05",0.201036866359447
