"","geography","vacancy_rate","no_vacancy","vacancy","total"
"1","nsw",0.443068675006382,4363,3471,7834
"2","central_west_total",0.39297124600639,190,123,313
"3","Bathurst Regional",0.504950495049505,50,51,101
"4","Blayney",0.142857142857143,24,4,28
"5","Cabonne",0.166666666666667,10,2,12
"6","Cowra",0.2,8,2,10
"7","Forbes",0.25,6,2,8
"8","Lachlan",0.666666666666667,1,2,3
"9","Lithgow",0.375,20,12,32
"10","Mid-Western Regional",0.307692307692308,9,4,13
"11","Oberon",0,4,0,4
"12","Orange",0.448275862068966,48,39,87
"13","Parkes",0.285714285714286,10,4,14
"14","Weddin",1,0,1,1
